qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
test-environment-aeghhgwpe-pro02a,Being vegetarian helps the environment  Becoming a vegetarian is an environmenta,test-environment-aeghhgwpe-pro02a,0.0,0.0,0.0,1657.014
test-environment-aeghhgwpe-pro01a,It is immoral to kill animals  As evolved human beings it is our moral duty to i,test-environment-aeghhgwpe-pro01a,0.0,0.0,0.0,1594.528
test-environment-aeghhgwpe-pro03a,Vegetarianism is healthier  There are significant health benefits to 'going vegg,test-environment-aeghhgwpe-pro03a,0.0,0.0,0.0,733.339
test-environment-aeghhgwpe-pro04a,Being vegetarian reduces risks of food poisoning  Almost all dangerous types of ,test-environment-aeghhgwpe-pro04a,0.0,0.0,0.0,381.382
test-environment-aeghhgwpe-con02a,There are problems with being vegetarian  A vegetarian or vegan diet may result ,test-environment-aeghhgwpe-con02a,0.0,0.0,0.0,315.55
test-environment-aeghhgwpe-con03a,"Survival of the fittest  It is natural for human beings to farm, kill, and eat o",test-environment-aeghhgwpe-con03a,0.0,0.0,0.0,431.162
test-environment-aeghhgwpe-con01a,Humans can choose their own nutrition plan  Humans are omnivores – we are meant ,test-environment-aeghhgwpe-con01a,0.0,0.0,0.0,472.589
test-environment-assgbatj-pro02a,Animal research causes severe harm to the animals involved  The point of animal ,test-environment-assgbatj-pro02a,0.0,0.0,0.0,264.863
test-environment-assgbatj-pro05a,It would send out a consistent message  Most countries have animal welfare laws ,test-environment-assgbatj-pro05a,0.0,0.0,0.0,144.79
test-environment-assgbatj-pro01a,Animals shouldn’t be harmed  The difference between us and other animals is a ma,test-environment-assgbatj-pro01a,0.0,0.0,0.0,348.206
test-environment-assgbatj-pro03a,It isn’t necessary  We don’t know how we will be able to develop new drugs witho,test-environment-assgbatj-pro03a,0.0,0.0,0.0,214.7
test-environment-assgbatj-pro04a,Most animals can suffer more than some people  It’s possible to think of people ,test-environment-assgbatj-pro04a,0.0,0.0,0.0,162.802
test-environment-assgbatj-con02a,"People will die if we don’t do animal testing  Every year, 23 new drugs are intr",test-environment-assgbatj-con02a,0.0,0.0,0.0,163.647
test-environment-assgbatj-con05a,Research animals are well treated  Animals used in research generally don’t suff,test-environment-assgbatj-con05a,0.0,0.0,0.0,219.218
test-environment-assgbatj-con04a,Animal research is only used when it’s needed  EU member states and the US have ,test-environment-assgbatj-con04a,0.0,0.0,0.0,163.764
test-environment-assgbatj-con03a,Testing is needed for really new drugs  The real benefit of animal testing is ma,test-environment-assgbatj-con03a,0.0,0.0,0.0,286.18
test-environment-assgbatj-con01a,"Animals don’t have human rights  Humans have large brains, form social groups, c",test-environment-assgbatj-con01a,0.0,0.0,0.0,222.423
test-environment-aiahwagit-pro02a,"Poaching is becoming more advanced  A stronger, militarised approach is needed a",test-environment-aiahwagit-pro02a,0.0,0.0,0.0,286.128
test-environment-aiahwagit-pro05a,The justice system does not currently work  A major failing in current anti-poac,test-environment-aiahwagit-pro05a,0.0,0.0,0.0,298.09
test-environment-aiahwagit-pro01a,Natural habitats being are destroyed  A tougher approach to the protection of an,test-environment-aiahwagit-pro01a,0.0,0.0,0.0,297.294
test-environment-aiahwagit-pro03a,Endangered animals are a source of pride for African countries  Endangered anima,test-environment-aiahwagit-pro03a,0.0,0.0,0.0,264.576
test-environment-aiahwagit-pro04a,Poaching is linked to terrorism  Stronger protection of animals should be implem,test-environment-aiahwagit-pro04a,0.0,0.0,0.0,296.264
test-environment-aiahwagit-con02a,Fewer human deaths  Fewer large beasts will lead to fewer deaths in Africa. Some,test-environment-aiahwagit-con02a,0.0,0.0,0.0,233.854
