qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2429,1.0,0.22009176629808017,1.0,9.841
PLAIN-12,Exploiting Autophagy to Live Longer,MED-4711,0.0,0.0,0.0,7.751
PLAIN-23,How to Reduce Exposure to Alkylphenols Through Your Diet,MED-2643,1.0,0.22009176629808017,1.0,11.973
PLAIN-33,What’s Driving America’s Obesity Problem?,MED-1994,0.0,0.0,0.0,6.591
PLAIN-44,Who Should be Careful About Curcumin?,MED-2786,0.0,0.0,0.0,7.988
PLAIN-56,Foods for Glaucoma,MED-2901,1.0,0.22009176629808017,1.0,3.618
PLAIN-68,What is Actually in Chicken Nuggets?,MED-2991,1.0,0.22009176629808017,1.0,5.344
PLAIN-78,What Do Meat Purge and Cola Have in Common?,MED-4318,1.0,0.22009176629808017,1.0,8.574
PLAIN-91,Chronic Headaches and Pork Parasites,MED-3171,1.0,0.22009176629808017,1.0,6.381
PLAIN-102,Stopping Heart Disease in Childhood,MED-3954,0.0,0.0,0.0,6.119
PLAIN-112,Food Dyes and ADHD,MED-3380,1.0,0.22009176629808017,1.0,4.024
PLAIN-123,How Citrus Might Help Keep Your Hands Warm,MED-4256,0.0,0.0,0.0,6.331
PLAIN-133,Starving Tumors of Their Blood Supply,MED-1666,0.0,0.0,0.0,5.569
PLAIN-143,Are Dental X-Rays Safe?,MED-3621,1.0,0.22009176629808017,1.0,2.884
PLAIN-153,How Should I Take Probiotics?,MED-3677,1.0,0.22009176629808017,1.0,4.663
PLAIN-165,Breast Cancer & Alcohol: How Much is Safe?,MED-4445,0.0,0.0,0.0,8.118
PLAIN-175,Diet and Cellulite,MED-3818,1.0,0.22009176629808017,1.0,4.878
PLAIN-186,Best Treatment for Constipation,MED-2054,0.0,0.0,0.0,4.534
PLAIN-196,Should We Avoid Titanium Dioxide?,MED-3969,1.0,0.22009176629808017,1.0,8.768
PLAIN-207,Avoiding Cooked Meat Carcinogens,MED-5197,1.0,0.22009176629808017,1.0,3.038
PLAIN-217,Plant-Based Diets for Psoriasis,MED-4831,0.0,0.0,0.0,4.705
PLAIN-227,Increasing Muscle Strength with Fenugreek,MED-3534,0.0,0.0,0.0,5.072
PLAIN-238,How Chemically Contaminated Are We?,MED-4451,0.0,0.0,0.0,7.394
PLAIN-248,Treating an Enlarged Prostate With Diet,MED-3789,0.0,0.0,0.0,8.164
PLAIN-259,Optimal Phytosterol Dose and Source,MED-4295,1.0,0.22009176629808017,1.0,5.756
PLAIN-270,Is Caffeinated Tea Really Dehydrating?,MED-4331,1.0,0.22009176629808017,1.0,4.915
PLAIN-280,Mercury Testing Recommended Before Pregnancy,MED-4376,1.0,0.22009176629808017,1.0,5.065
PLAIN-291,Stool Size and Breast Cancer Risk,MED-4517,1.0,0.22009176629808017,1.0,6.098
PLAIN-307,Vitamin D: Shedding some light on the new recommendations,MED-714,1.0,0.46927872602275644,1.0,10.283
PLAIN-320,Breast Cancer and Diet,MED-2437,0.0,0.0,0.0,5.22
PLAIN-332,Can antioxidant-rich spices counteract the effects of a high-fat meal?,MED-5265,0.0,0.0,0.0,10.412
PLAIN-344,Dioxins Stored in Our Own Fat May Increase Diabetes Risk,MED-2495,0.0,0.0,0.0,11.214
PLAIN-358,Didn't another study show carnitine was good for the heart?,MED-5333,0.0,0.0,0.0,11.049
PLAIN-371,Any update on the scary in vitro avocado data?,MED-4620,0.0,0.0,0.0,9.383
PLAIN-383,What do you think of Dr. Jenkins' take on paleolithic diets?,MED-3776,0.0,0.0,0.0,14.276
PLAIN-395,What about pepper plus turmeric in V8 juice?,MED-3482,0.0,0.0,0.0,8.886
PLAIN-407,Is annatto food coloring safe?,MED-906,1.0,0.46927872602275644,1.0,5.419
PLAIN-418,Fresh fruit versus frozen--which is better?,MED-2453,0.0,0.0,0.0,6.838
PLAIN-430,Are krill oil supplements better than fish oil capsules?,MED-928,1.0,0.2529427027676571,1.0,10.026
PLAIN-441,Is apple cider vinegar good for you?,MED-942,1.0,0.3391602052736161,1.0,6.257
PLAIN-457,How can you believe in any scientific study?,MED-2291,0.0,0.0,0.0,7.057
PLAIN-468,Is vitamin D3 (cholecalciferol) preferable to D2 (ergocalciferol)?,MED-4573,0.0,0.0,0.0,7.372
PLAIN-478,accidents,MED-2309,0.0,0.0,0.0,1.175
PLAIN-488,adenovirus 36,MED-1798,1.0,0.22009176629808017,1.0,2.103
PLAIN-499,African-American,MED-4893,0.0,0.0,0.0,0.698
PLAIN-510,airport scanners,,0.0,0.0,0.0,1.708
PLAIN-520,Alli,,0.0,0.0,0.0,1.176
PLAIN-531,alternative medicine,MED-3607,0.0,0.0,0.0,1.426
PLAIN-541,American Dental Association,MED-4036,0.0,0.0,0.0,2.302
PLAIN-551,amnesia,,0.0,0.0,0.0,1.106
PLAIN-561,aneurysm,MED-3180,1.0,0.22009176629808017,1.0,0.897
PLAIN-571,anisakis,MED-2346,0.0,0.0,0.0,0.932
PLAIN-583,antinutrients,,0.0,0.0,0.0,0.979
PLAIN-593,apnea,MED-4402,1.0,0.46927872602275644,1.0,1.09
PLAIN-603,Arkansas,MED-1957,0.0,0.0,0.0,0.92
PLAIN-613,ascorbic acid,MED-909,0.0,0.0,0.0,2.149
PLAIN-623,Atkins diet,MED-1674,0.0,0.0,0.0,1.907
PLAIN-634,avocados,MED-1378,0.0,0.0,0.0,0.862
PLAIN-645,bagels,,0.0,0.0,0.0,1.427
PLAIN-660,beans,MED-3584,1.0,0.22009176629808017,1.0,0.969
PLAIN-671,benzene,MED-4857,1.0,1.0,1.0,1.666
PLAIN-681,betel nuts,MED-4030,0.0,0.0,0.0,1.542
PLAIN-691,bioavailability,MED-4909,0.0,0.0,0.0,0.938
PLAIN-701,black raspberries,MED-3720,1.0,0.2529427027676571,1.0,1.939
PLAIN-711,blood clots,MED-2077,1.0,0.22009176629808017,1.0,2.504
PLAIN-721,BMAA,MED-4876,1.0,0.22009176629808017,1.0,0.816
PLAIN-731,bone fractures,MED-1341,1.0,0.22009176629808017,1.0,3.71
PLAIN-741,BPH,MED-4237,1.0,0.22009176629808017,1.0,2.17
PLAIN-751,BRCA genes,MED-3130,0.0,0.0,0.0,2.654
PLAIN-761,breast pain,MED-3797,0.0,0.0,0.0,1.548
PLAIN-771,bronchiolitis obliterans,MED-3386,1.0,0.46927872602275644,1.0,1.445
PLAIN-782,Bush administration,MED-1055,0.0,0.0,0.0,1.241
