qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
4641,Where should I park my rainy-day / emergency fund?,886,0.0,0.0,0.0,10.439
7017,Basic Algorithmic Trading Strategy,36723,0.0,0.0,0.0,4.012
3451,Should you keep your stocks if you are too late to sell?,27401,0.0,0.0,0.0,13.795
6715,What does it mean if “IPOs - normally are sold with an `underwriting discount` (,29886,0.0,0.0,0.0,19.179
5951,Why can't house prices be out of tune with salaries,43216,0.0,0.0,0.0,9.919
10827,How much should I be contributing to my 401k given my employer's contribution?,13275,0.0,0.0,0.0,13.649
9771,Is there any emprical research done on 'adding to a loser',38287,0.0,0.0,0.0,11.517
4037,How separate individual expenses from family expenses in Gnucash?,38611,0.0,0.0,0.0,11.175
8537,What is an “Options Account”?,18934,0.0,0.0,0.0,8.03
2923,Should I give to charity by check or credit card?,19275,0.0,0.0,0.0,12.23
932,Is freelance income earned by a U.S. citizen while living abroad subject to stat,48722,1.0,1.0,1.0,17.575
4837,"When applying for a mortgage, can it also cover outstanding debts?",47572,0.0,0.0,0.0,13.621
5741,Learning investing and the stock market,34752,0.0,0.0,0.0,6.654
864,Why use accounting software like Quickbooks instead of Excel spreadsheets?,24890,1.0,0.6131471927654584,1.0,9.015
5422,"What are some good books for learning stocks, bonds, derivatives e.t.c for begin",17186,0.0,0.0,0.0,15.836
8247,Tax on Stocks or ETF's,49168,0.0,0.0,0.0,5.208
8789,What does “profits to the shareholders jumped to 15 cents a share” mean?,41912,1.0,1.0,1.0,12.73
8532,What do these options trading terms mean?,2959,0.0,0.0,0.0,6.326
5054,How to stress test an investment plan?,34451,0.0,0.0,0.0,7.943
68,Intentions of Deductible Amount for Small Business,6103,0.0,0.0,0.0,6.883
750,Paid part of my state refund back last year; now must declare the initial amount,33602,1.0,1.0,1.0,16.939
4011,How can I deal with a spouse who compulsively spends?,21288,0.0,0.0,0.0,9.724
4767,New car: buy with cash or 0% financing,16626,0.0,0.0,0.0,8.442
2724,How do you determine the dividend payout date for Mutual Funds?,39407,0.0,0.0,0.0,12.975
6131,Is it ever a good idea to close credit cards?,38938,0.0,0.0,0.0,15.87
858,Is it bad practice to invest in stocks that fluctuate by single points throughou,42347,0.0,0.0,0.0,19.696
4019,How and Should I Invest (As a college 18 year old with minimal living expenses)?,7668,0.0,0.0,0.0,20.087
6080,Is ScholarShare a legitimate entity for a 529 plan in California?,22856,1.0,1.0,1.0,13.163
2580,Stock market vs. baseball card trading analogy,11988,1.0,1.0,1.0,6.914
4504,what is the best way of investment which gives returns forever?,2981,1.0,1.0,1.0,14.022
90,Filing personal with 1099s versus business s-corp?,11401,0.0,0.0,0.0,8.307
2549,How to graph the market year over year? for example Dow Jones Index,25817,0.0,0.0,0.0,15.283
4233,"Are personal finance / money management classes taught in high school, anywhere?",16270,1.0,0.6131471927654584,1.0,13.388
3177,Vanguard ETF vs mutual fund,27930,0.0,0.0,0.0,4.782
