qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
187,What causes a nightmare?,4454,0.0,0.0,0.0,3.251
273,Does it matter whether humans are selfish or evil?,274,1.0,1.0,1.0,5.248
313,"If I do not monetize YouTube videos & upload copyright content, then are there c",314,1.0,1.0,1.0,13.988
359,Do animals kiss?,360,1.0,1.0,1.0,2.689
493,Who is disrupting Bloomberg?,494,1.0,1.0,1.0,2.46
615,What jobs are available with a bachelor’s degree in Homeland Security?,614,1.0,1.0,1.0,7.204
616,Which are the best books to understand calculus?,617,1.0,1.0,1.0,5.837
682,How do earthquake resistant buildings work?,681,1.0,1.0,1.0,4.299
727,What should I do to be a good Speaker?,726,1.0,1.0,1.0,6.345
753,How can I maintain my peace of mind?,752,1.0,1.0,1.0,5.486
823,Are there any strong indications that Donald Trump does cocaine?,822,1.0,1.0,1.0,6.959
840,What's your bucket list?,841,1.0,1.0,1.0,3.028
885,How can I join MIT?,804,1.0,0.46927872602275644,1.0,3.156
965,Why are police lights red and/or blue?,964,1.0,1.0,1.0,4.795
1093,How can I hack another WhatsApp account?,1092,1.0,0.6131471927654584,1.0,4.958
1145,What is the difference between sex and masturbation when it comes to pleasure?,1144,1.0,1.0,1.0,7.894
1234,What is the reason Pakistan supports terrorism?,1235,1.0,1.0,1.0,4.695
1238,"In your opinion, what is the best classical song of all time?",1239,1.0,1.0,1.0,7.576
1251,How are the conditions inside European Refugee Camps?,1250,1.0,1.0,1.0,5.07
1305,Where can I get super high quality photos for any photo booth services in Sydney,1306,1.0,1.0,1.0,9.774
1464,Who is best Indian hacker?,4137,0.0,0.0,0.0,3.246
1566,Is there a big chance that Trump will win the election?,1863,0.0,0.0,0.0,6.956
1569,How can I meet Suresh Raina?,1570,1.0,1.0,1.0,3.815
1608,How do I know if my online girlfriend truly loves me?,2962,0.0,0.0,0.0,6.488
1630,Why is the soul immortal?,1629,1.0,1.0,1.0,3.839
1665,Which is the best PMP Certification course provider in Bangalore?,1666,1.0,1.0,1.0,5.921
1712,How is the job situation in New Zealand for computer science graduates diploma?,1711,1.0,1.0,1.0,9.384
1744,What do we need to have the best Halloween?,1743,1.0,1.0,1.0,6.489
