qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
1,0-dimensional biomaterials show inductive properties.,10931595,0.0,0.0,0.0,9.042
3,"1,000 genomes project enables mapping of genetic sequence va",3672261,0.0,0.0,0.0,32.239
5,1/2000 in UK have abnormal PrP positivity.,13734012,1.0,1.0,1.0,12.423
13,5% of perinatal mortality is due to low birth weight.,7662395,0.0,0.0,0.0,24.281
36,A deficiency of vitamin B12 increases blood levels of homocy,42441846,0.0,0.0,0.0,22.057
42,A high microerythrocyte count raises vulnerability to severe,18174210,1.0,1.0,1.0,24.351
48,"A total of 1,000 people in the UK are asymptomatic carriers ",18617259,0.0,0.0,0.0,20.084
49,ADAR1 binds to Dicer to cleave pre-miRNA.,5953485,1.0,1.0,1.0,9.633
50,AIRE is expressed in some skin tumors.,12580014,1.0,1.0,1.0,12.054
51,ALDH1 expression is associated with better breast cancer out,45638119,1.0,1.0,1.0,13.962
53,ALDH1 expression is associated with poorer prognosis in brea,45638119,1.0,1.0,1.0,15.231
54,AMP-activated protein kinase (AMPK) activation increases inf,49556906,1.0,1.0,1.0,17.627
56,APOE4 expression in iPSC-derived neurons increases AlphaBeta,4709641,1.0,1.0,1.0,17.728
57,APOE4 expression in iPSC-derived neurons increases AlphaBeta,4709641,1.0,1.0,1.0,20.198
70,Activation of PPM1D suppresses p53 function.,5956380,1.0,0.6131471927654584,1.0,7.434
72,Activator-inhibitor pairs are provided dorsally by Admpchord,22711954,0.0,0.0,0.0,8.313
75,Active H. pylori urease has a polymeric structure that compr,13965483,0.0,0.0,0.0,19.683
94,Albendazole is used to treat lymphatic filariasis.,1215116,1.0,1.0,1.0,9.641
99,Alizarin forms hydrogen bonds with residues involved in PGAM,18810195,1.0,1.0,1.0,12.113
100,All hematopoietic stem cells segregate their chromosomes ran,4381486,1.0,1.0,1.0,10.368
113,Angiotensin converting enzyme inhibitors are associated with,1759213,0.0,0.0,0.0,15.917
115,Anthrax spores can be disposed of easily after they are disp,33872649,1.0,1.0,1.0,16.43
118,Antibiotic induced alterations in the gut microbiome reduce ,6372244,1.0,1.0,1.0,13.441
124,Antiretroviral therapy reduces rates of tuberculosis across ,4883040,1.0,1.0,1.0,17.15
127,Arginine 90 in p150n is important for interaction with EB1.,35231675,0.0,0.0,0.0,14.279
128,Arterioles have a larger lumen diameter than venules.,1122279,0.0,0.0,0.0,9.591
129,Articles published in open access format are less likely to ,27768226,1.0,1.0,1.0,19.71
130,Articles published in open access format are more likely to ,27768226,1.0,1.0,1.0,18.667
