qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
1,0-dimensional biomaterials show inductive properties.,17388232,0.0,0.0,0.0,13703.063
3,"1,000 genomes project enables mapping of genetic sequence variation consisting o",2739854,0.0,0.0,0.0,84.27
5,1/2000 in UK have abnormal PrP positivity.,13734012,1.0,1.0,1.0,41.845
13,5% of perinatal mortality is due to low birth weight.,7662395,0.0,0.0,0.0,67.176
36,A deficiency of vitamin B12 increases blood levels of homocysteine.,18557974,0.0,0.0,0.0,76.812
42,A high microerythrocyte count raises vulnerability to severe anemia in homozygou,18174210,1.0,1.0,1.0,64.022
48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",18617259,0.0,0.0,0.0,63.37
49,ADAR1 binds to Dicer to cleave pre-miRNA.,5953485,1.0,1.0,1.0,72.877
50,AIRE is expressed in some skin tumors.,12580014,1.0,1.0,1.0,53.134
51,ALDH1 expression is associated with better breast cancer outcomes.,45638119,1.0,1.0,1.0,46.908
53,ALDH1 expression is associated with poorer prognosis in breast cancer.,45638119,1.0,1.0,1.0,45.292
56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau ,4709641,1.0,1.0,1.0,54.959
57,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau ,4709641,1.0,1.0,1.0,79.281
70,Activation of PPM1D suppresses p53 function.,11903247,0.0,0.0,0.0,32.515
72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,6076903,1.0,1.0,1.0,34.835
75,"Active H. pylori urease has a polymeric structure that compromises two subunits,",4387784,1.0,1.0,1.0,49.055
94,Albendazole is used to treat lymphatic filariasis.,1215116,1.0,1.0,1.0,38.402
99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,18810195,1.0,1.0,1.0,56.218
100,All hematopoietic stem cells segregate their chromosomes randomly.,4381486,1.0,1.0,1.0,42.022
113,Angiotensin converting enzyme inhibitors are associated with increased risk for ,6157837,1.0,1.0,1.0,37.17
115,Anthrax spores can be disposed of easily after they are dispersed.,33872649,1.0,1.0,1.0,40.924
118,Antibiotic induced alterations in the gut microbiome reduce resistance against C,4465735,0.0,0.0,0.0,47.474
124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4,4883040,1.0,1.0,1.0,60.862
127,Arginine 90 in p150n is important for interaction with EB1.,35231675,0.0,0.0,0.0,69.19
128,Arterioles have a larger lumen diameter than venules.,23513718,0.0,0.0,0.0,61.634
129,Articles published in open access format are less likely to be cited than tradit,27768226,1.0,1.0,1.0,56.551
130,Articles published in open access format are more likely to be cited than tradit,27768226,1.0,1.0,1.0,55.988
132,Aspirin inhibits the production of PGE2.,7613033,0.0,0.0,0.0,42.18
133,Assembly of invadopodia is triggered by focal generation of phosphatidylinositol,12640810,1.0,0.3391602052736161,1.0,71.215
137,Asymptomatic visual impairment screening in elderly populations does not lead to,26016929,1.0,1.0,1.0,67.976
141,Auditory entrainment is strengthened when people see congruent visual and audito,14437255,1.0,0.6131471927654584,1.0,52.237
142,Autologous transplantation of mesenchymal stem cells causes a higher rate of opp,10582939,1.0,1.0,1.0,55.654
143,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic ,10582939,1.0,1.0,1.0,57.402
146,Autologous transplantation of mesenchymal stem cells has lower rates of rejectio,10582939,1.0,1.0,1.0,55.395
148,Autophagy declines in aged organisms.,1084345,1.0,1.0,1.0,28.236
163,Bariatric surgery has a positive impact on mental health.,18872233,1.0,1.0,1.0,31.349
171,Basophils counteract disease development in patients with systemic lupus erythem,12670680,1.0,1.0,1.0,45.107
179,Birth-weight is positively associated with breast cancer.,25973484,0.0,0.0,0.0,36.474
180,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 a,16966326,1.0,1.0,1.0,97.787
183,Bone marrow cells contribute to adult macrophage compartments.,8137081,0.0,0.0,0.0,43.585
185,Breast cancer development is determined exclusively by genetic factors.,18340282,1.0,1.0,1.0,47.526
198,CCL19 is absent within dLNs.,13778710,0.0,0.0,0.0,31.802
208,CHEK2 is not associated with breast cancer.,13519661,1.0,1.0,1.0,32.642
212,CR is associated with higher methylation age.,22038539,1.0,1.0,1.0,40.686
213,CRP is not predictive of postoperative mortality following Coronary Artery Bypas,27054878,0.0,0.0,0.0,68.876
216,CX3CR1 on the Th2 cells impairs T cell survival,21366394,1.0,1.0,1.0,41.652
217,CX3CR1 on the Th2 cells promotes T cell survival,21366394,1.0,1.0,1.0,36.691
218,CX3CR1 on the Th2 cells promotes airway inflammation.,21366394,1.0,1.0,1.0,31.901
219,CX3CR1 on the Th2 cells suppresses airway inflammation.,21366394,1.0,1.0,1.0,43.558
230,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less th,3067015,1.0,1.0,1.0,42.842
232,Cataract and trachoma are the primary cause of blindness in Southern Sudan.,7655029,0.0,0.0,0.0,62.775
233,Cell autonomous sex determination in somatic cells does not occur in Galliformes,4388470,1.0,1.0,1.0,66.883
236,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,4388470,1.0,1.0,1.0,66.209
237,Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,4942718,1.0,1.0,1.0,68.985
238,Cells undergoing methionine restriction may activate miRNAs.,4463811,0.0,0.0,0.0,49.253
239,Cellular aging closely links to an older appearance.,22264117,0.0,0.0,0.0,22.705
248,Chenodeosycholic acid treatment increases whole-body energy expenditure.,1568684,1.0,1.0,1.0,22.311
249,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,1568684,1.0,1.0,1.0,25.276
261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mec",32322418,0.0,0.0,0.0,36.477
268,Cold exposure increases BAT recruitment.,970012,1.0,1.0,1.0,17.667
269,Cold exposure reduces BAT recruitment.,970012,1.0,1.0,1.0,22.072
274,Combination nicotine replacement therapies with varenicline or bupropion lead to,11614737,1.0,1.0,1.0,44.25
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at ,4920376,0.0,0.0,0.0,32.727
279,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,14376683,1.0,1.0,1.0,34.906
294,Crossover hot spots are not found within gene promoters in Saccharomyces cerevis,10874408,1.0,1.0,1.0,42.922
295,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is impo,20310709,1.0,1.0,1.0,66.74
298,Cytochrome c is released from the mitochondrial intermembrane space to cytosol d,39381118,1.0,1.0,1.0,49.831
300,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1. Cy,16120395,0.0,0.0,0.0,91.956
303,DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM regi,4085204,0.0,0.0,0.0,61.768
312,De novo assembly of sequence data has more specific contigs than unassembled seq,14464451,0.0,0.0,0.0,61.733
314,Deamination of cytidine to uridine on the minus strand of viral DNA results in c,544971,0.0,0.0,0.0,65.18
324,Deleting Raptor reduces G-CSF levels.,4658268,0.0,0.0,0.0,25.506
327,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,17997584,1.0,1.0,1.0,44.189
338,Dexamethasone decreases risk of postoperative bleeding.,23349986,1.0,1.0,1.0,46.682
