qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
4641,Where should I park my rainy-day / emergency fund?,52190,0.0,0.0,0.0,9470.752
7017,Basic Algorithmic Trading Strategy,36723,0.0,0.0,0.0,44.608
3451,Should you keep your stocks if you are too late to sell?,44461,0.0,0.0,0.0,62.5
6715,What does it mean if “IPOs - normally are sold with an `underwriting discount` (,32102,0.0,0.0,0.0,36.023
5951,Why can't house prices be out of tune with salaries,15951,0.0,0.0,0.0,27.925
10827,How much should I be contributing to my 401k given my employer's contribution?,1366,0.0,0.0,0.0,62.941
9771,Is there any emprical research done on 'adding to a loser',44451,0.0,0.0,0.0,68.356
4037,How separate individual expenses from family expenses in Gnucash?,38611,0.0,0.0,0.0,61.702
8537,What is an “Options Account”?,42438,0.0,0.0,0.0,34.619
2923,Should I give to charity by check or credit card?,8849,0.0,0.0,0.0,30.721
932,Is freelance income earned by a U.S. citizen while living abroad subject to stat,19245,0.0,0.0,0.0,75.077
4837,"When applying for a mortgage, can it also cover outstanding debts?",1239,0.0,0.0,0.0,50.166
5741,Learning investing and the stock market,47973,0.0,0.0,0.0,23.975
864,Why use accounting software like Quickbooks instead of Excel spreadsheets?,24890,1.0,0.6131471927654584,1.0,28.68
5422,"What are some good books for learning stocks, bonds, derivatives e.t.c for begin",36343,0.0,0.0,0.0,50.48
8247,Tax on Stocks or ETF's,16187,0.0,0.0,0.0,32.421
8789,What does “profits to the shareholders jumped to 15 cents a share” mean?,41912,1.0,1.0,1.0,37.393
8532,What do these options trading terms mean?,42438,0.0,0.0,0.0,30.831
5054,How to stress test an investment plan?,17823,0.0,0.0,0.0,39.871
68,Intentions of Deductible Amount for Small Business,18850,0.0,0.0,0.0,42.905
750,Paid part of my state refund back last year; now must declare the initial amount,33602,1.0,1.0,1.0,37.152
4011,How can I deal with a spouse who compulsively spends?,470,1.0,1.0,1.0,28.389
4767,New car: buy with cash or 0% financing,9146,0.0,0.0,0.0,36.366
2724,How do you determine the dividend payout date for Mutual Funds?,42427,0.0,0.0,0.0,53.638
6131,Is it ever a good idea to close credit cards?,38938,0.0,0.0,0.0,54.872
858,Is it bad practice to invest in stocks that fluctuate by single points throughou,42347,0.0,0.0,0.0,60.025
4019,How and Should I Invest (As a college 18 year old with minimal living expenses)?,45353,0.0,0.0,0.0,35.676
6080,Is ScholarShare a legitimate entity for a 529 plan in California?,22856,1.0,1.0,1.0,36.624
2580,Stock market vs. baseball card trading analogy,11988,1.0,1.0,1.0,38.524
4504,what is the best way of investment which gives returns forever?,2981,1.0,1.0,1.0,55.028
90,Filing personal with 1099s versus business s-corp?,11569,0.0,0.0,0.0,47.631
2549,How to graph the market year over year? for example Dow Jones Index,11685,0.0,0.0,0.0,55.261
