qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
1,0-dimensional biomaterials show inductive properties.,10931595,0.0,0.0,0.0,8.914
3,"1,000 genomes project enables mapping of genetic sequence variation consisting o",3672261,0.0,0.0,0.0,26.288
5,1/2000 in UK have abnormal PrP positivity.,13734012,1.0,1.0,1.0,7.766
13,5% of perinatal mortality is due to low birth weight.,7662395,0.0,0.0,0.0,11.621
36,A deficiency of vitamin B12 increases blood levels of homocysteine.,42441846,0.0,0.0,0.0,10.707
42,A high microerythrocyte count raises vulnerability to severe anemia in homozygou,18174210,1.0,1.0,1.0,16.263
48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",18617259,0.0,0.0,0.0,15.997
49,ADAR1 binds to Dicer to cleave pre-miRNA.,5953485,1.0,1.0,1.0,8.765
50,AIRE is expressed in some skin tumors.,12580014,1.0,1.0,1.0,8.044
51,ALDH1 expression is associated with better breast cancer outcomes.,45638119,1.0,1.0,1.0,10.289
53,ALDH1 expression is associated with poorer prognosis in breast cancer.,45638119,1.0,1.0,1.0,12.25
56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau ,4709641,1.0,1.0,1.0,13.544
57,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau ,4709641,1.0,1.0,1.0,13.873
70,Activation of PPM1D suppresses p53 function.,5956380,1.0,0.6131471927654584,1.0,6.524
72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,22711954,0.0,0.0,0.0,7.338
75,"Active H. pylori urease has a polymeric structure that compromises two subunits,",13965483,0.0,0.0,0.0,15.887
94,Albendazole is used to treat lymphatic filariasis.,1215116,1.0,1.0,1.0,10.756
99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,18810195,1.0,1.0,1.0,14.05
100,All hematopoietic stem cells segregate their chromosomes randomly.,4381486,1.0,1.0,1.0,8.128
113,Angiotensin converting enzyme inhibitors are associated with increased risk for ,1759213,0.0,0.0,0.0,14.207
115,Anthrax spores can be disposed of easily after they are dispersed.,33872649,1.0,1.0,1.0,12.547
118,Antibiotic induced alterations in the gut microbiome reduce resistance against C,6372244,1.0,1.0,1.0,14.58
124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4,4883040,1.0,1.0,1.0,13.589
127,Arginine 90 in p150n is important for interaction with EB1.,35231675,0.0,0.0,0.0,12.944
