qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
1,0-dimensional biomaterials show inductive properties.,17388232,0.0,0.0,0.0,16158.177
3,"1,000 genomes project enables mapping of genetic sequence va",2739854,0.0,0.0,0.0,90.788
5,1/2000 in UK have abnormal PrP positivity.,13734012,1.0,1.0,1.0,36.531
13,5% of perinatal mortality is due to low birth weight.,7662395,0.0,0.0,0.0,49.89
36,A deficiency of vitamin B12 increases blood levels of homocy,18557974,0.0,0.0,0.0,53.559
42,A high microerythrocyte count raises vulnerability to severe,18174210,1.0,1.0,1.0,65.302
48,"A total of 1,000 people in the UK are asymptomatic carriers ",18617259,0.0,0.0,0.0,62.855
49,ADAR1 binds to Dicer to cleave pre-miRNA.,5953485,1.0,1.0,1.0,43.481
50,AIRE is expressed in some skin tumors.,12580014,1.0,1.0,1.0,36.441
51,ALDH1 expression is associated with better breast cancer out,45638119,1.0,1.0,1.0,46.96
53,ALDH1 expression is associated with poorer prognosis in brea,45638119,1.0,1.0,1.0,57.121
54,AMP-activated protein kinase (AMPK) activation increases inf,3973445,0.0,0.0,0.0,55.158
56,APOE4 expression in iPSC-derived neurons increases AlphaBeta,4709641,1.0,1.0,1.0,54.512
57,APOE4 expression in iPSC-derived neurons increases AlphaBeta,4709641,1.0,1.0,1.0,51.822
70,Activation of PPM1D suppresses p53 function.,11903247,0.0,0.0,0.0,53.921
72,Activator-inhibitor pairs are provided dorsally by Admpchord,6076903,1.0,1.0,1.0,32.47
75,Active H. pylori urease has a polymeric structure that compr,4387784,1.0,1.0,1.0,44.703
94,Albendazole is used to treat lymphatic filariasis.,1215116,1.0,1.0,1.0,33.176
99,Alizarin forms hydrogen bonds with residues involved in PGAM,18810195,1.0,1.0,1.0,42.166
100,All hematopoietic stem cells segregate their chromosomes ran,4381486,1.0,1.0,1.0,32.974
113,Angiotensin converting enzyme inhibitors are associated with,6157837,1.0,1.0,1.0,36.264
115,Anthrax spores can be disposed of easily after they are disp,33872649,1.0,1.0,1.0,45.252
118,Antibiotic induced alterations in the gut microbiome reduce ,4465735,0.0,0.0,0.0,42.134
124,Antiretroviral therapy reduces rates of tuberculosis across ,4883040,1.0,1.0,1.0,59.834
127,Arginine 90 in p150n is important for interaction with EB1.,35231675,0.0,0.0,0.0,48.868
128,Arterioles have a larger lumen diameter than venules.,23513718,0.0,0.0,0.0,35.872
129,Articles published in open access format are less likely to ,27768226,1.0,1.0,1.0,54.156
130,Articles published in open access format are more likely to ,27768226,1.0,1.0,1.0,41.554
132,Aspirin inhibits the production of PGE2.,7613033,0.0,0.0,0.0,34.37
133,Assembly of invadopodia is triggered by focal generation of ,12640810,1.0,0.3391602052736161,1.0,74.208
137,Asymptomatic visual impairment screening in elderly populati,26016929,1.0,1.0,1.0,50.855
141,Auditory entrainment is strengthened when people see congrue,14437255,1.0,0.6131471927654584,1.0,33.563
142,Autologous transplantation of mesenchymal stem cells causes ,10582939,1.0,1.0,1.0,49.405
143,Autologous transplantation of mesenchymal stem cells causes ,10582939,1.0,1.0,1.0,63.069
146,Autologous transplantation of mesenchymal stem cells has low,10582939,1.0,1.0,1.0,42.975
148,Autophagy declines in aged organisms.,1084345,1.0,1.0,1.0,22.589
163,Bariatric surgery has a positive impact on mental health.,18872233,1.0,1.0,1.0,35.854
171,Basophils counteract disease development in patients with sy,12670680,1.0,1.0,1.0,39.155
179,Birth-weight is positively associated with breast cancer.,25973484,0.0,0.0,0.0,37.625
180,Blocking the interaction between TDP-43 and respiratory comp,16966326,1.0,1.0,1.0,50.779
183,Bone marrow cells contribute to adult macrophage compartment,12827098,1.0,1.0,1.0,36.363
185,Breast cancer development is determined exclusively by genet,18340282,1.0,1.0,1.0,38.363
198,CCL19 is absent within dLNs.,13778710,0.0,0.0,0.0,27.549
208,CHEK2 is not associated with breast cancer.,13519661,1.0,1.0,1.0,28.619
212,CR is associated with higher methylation age.,22038539,1.0,1.0,1.0,37.368
213,CRP is not predictive of postoperative mortality following C,27054878,0.0,0.0,0.0,54.011
