qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
PLAIN-2,Do Cholesterol Statin Drugs Cause Breast Cancer?,MED-2429,1.0,0.22009176629808017,1.0,10360.512
PLAIN-12,Exploiting Autophagy to Live Longer,MED-4711,0.0,0.0,0.0,25.287
PLAIN-23,How to Reduce Exposure to Alkylphenols Through Your Diet,MED-2658,1.0,0.22009176629808017,1.0,25.592
PLAIN-33,What’s Driving America’s Obesity Problem?,MED-1328,0.0,0.0,0.0,23.176
PLAIN-44,Who Should be Careful About Curcumin?,MED-1248,0.0,0.0,0.0,20.729
PLAIN-56,Foods for Glaucoma,MED-2896,1.0,0.22009176629808017,1.0,20.12
PLAIN-68,What is Actually in Chicken Nuggets?,MED-2991,1.0,0.22009176629808017,1.0,25.786
PLAIN-78,What Do Meat Purge and Cola Have in Common?,MED-5110,0.0,0.0,0.0,24.798
PLAIN-91,Chronic Headaches and Pork Parasites,MED-3288,1.0,0.22009176629808017,1.0,31.421
PLAIN-102,Stopping Heart Disease in Childhood,MED-3954,0.0,0.0,0.0,26.027
PLAIN-112,Food Dyes and ADHD,MED-3380,1.0,0.22009176629808017,1.0,20.15
PLAIN-123,How Citrus Might Help Keep Your Hands Warm,MED-3483,1.0,0.22009176629808017,1.0,22.255
PLAIN-133,Starving Tumors of Their Blood Supply,MED-2357,0.0,0.0,0.0,26.731
PLAIN-143,Are Dental X-Rays Safe?,MED-3621,1.0,0.22009176629808017,1.0,19.936
PLAIN-153,How Should I Take Probiotics?,MED-3677,1.0,0.22009176629808017,1.0,25.608
PLAIN-165,Breast Cancer & Alcohol: How Much is Safe?,MED-3855,0.0,0.0,0.0,28.563
PLAIN-175,Diet and Cellulite,MED-3818,1.0,0.22009176629808017,1.0,20.338
PLAIN-186,Best Treatment for Constipation,MED-2054,0.0,0.0,0.0,32.099
PLAIN-196,Should We Avoid Titanium Dioxide?,MED-3969,1.0,0.22009176629808017,1.0,28.965
PLAIN-207,Avoiding Cooked Meat Carcinogens,MED-5197,1.0,0.22009176629808017,1.0,36.106
PLAIN-217,Plant-Based Diets for Psoriasis,MED-4831,0.0,0.0,0.0,22.538
